postal_code,city,department,insee_code,city_norm
01350,CRESSIN ROCHEFORT,AIN,1133,cressin rochefort
01620,CROTTET,AIN,1134,crottet
01170,CROZET,AIN,1135,crozet
01290,CRUZILLES LES MEPILLAT,AIN,1136,cruzilles les mepillat
01370,CUISIAT,AIN,1137,cuisiat
01350,CULOZ,AIN,1138,culoz
01560,CURCIAT DONGALON,AIN,1139,curciat dongalon
01310,CURTAFOND,AIN,1140,curtafond
01300,CUZIEU,AIN,1141,cuzieu
01120,DAGNEUX,AIN,1142,dagneux
01220,DIVONNE LES BAINS,AIN,1143,divonne les bains
01380,DOMMARTIN,AIN,1144,dommartin
01240,DOMPIERRE SUR VEYLE,AIN,1145,dompierre sur veyle
01400,DOMPIERRE SUR CHALARONNE,AIN,1146,dompierre sur chalaronne
01270,DOMSURE,AIN,1147,domsure
01590,DORTAN,AIN,1148,dortan
01500,DOUVRES,AIN,1149,douvres
01250,DROM,AIN,1150,drom
01160,DRUILLAT,AIN,1151,druillat
01130,ECHALLON,AIN,1152,echallon
01170,ECHENEVEX,AIN,1153,echenevex
01340,ETREZ,AIN,1154,etrez
01230,EVOSGES,AIN,1155,evosges
01800,FARAMANS,AIN,1156,faramans
01480,FAREINS,AIN,1157,fareins
01550,FARGES,AIN,1158,farges
01570,FEILLENS,AIN,1159,feillens
01210,FERNEY VOLTAIRE,AIN,1160,ferney voltaire
01260,FITIGNIEU,AIN,1161,fitignieu
01350,FLAXIEU,AIN,1162,flaxieu
01340,FOISSIAT,AIN,1163,foissiat
01090,AMAREINS FRANCHELEINS CES,AIN,1165,amareins francheleins ces
01480,FRANS,AIN,1166,frans
01140,GARNERANS,AIN,1167,garnerans
01090,GENOUILLEUX,AIN,1169,genouilleux
01460,GEOVREISSIAT,AIN,1170,geovreissiat
01100,GEOVREISSET,AIN,1171,geovreisset
01250,GERMAGNAT,AIN,1172,germagnat
01170,GEX,AIN,1173,gex
01130,GIRON,AIN,1174,giron
01190,GORREVOD,AIN,1175,gorrevod
01260,LE GRAND ABERGEMENT,AIN,1176,le grand abergement
01250,GRAND CORENT,AIN,1177,grand corent
01580,GRANGES,AIN,1178,granges
01290,GRIEGES,AIN,1179,grieges
01220,GRILLY,AIN,1180,grilly
01810,GROISSIAT,AIN,1181,groissiat
01680,GROSLEE,AIN,1182,groslee
01090,GUEREINS,AIN,1183,guereins
01250,HAUTECOURT ROMANECHE,AIN,1184,hautecourt romaneche
01110,HAUTEVILLE LOMPNES,AIN,1185,hauteville lompnes
01110,HOSTIAS,AIN,1186,hostias
01260,HOTONNES,AIN,1187,hotonnes
01140,ILLIAT,AIN,1188,illiat
01200,INJOUX GENISSIAT,AIN,1189,injoux genissiat
01680,INNIMOND,AIN,1190,innimond
01430,IZENAVE,AIN,1191,izenave
01580,IZERNORE,AIN,1192,izernore
01300,IZIEU,AIN,1193,izieu
01480,JASSANS RIOTTIER,AIN,1194,jassans riottier
01250,JASSERON,AIN,1195,jasseron
01340,JAYAT,AIN,1196,jayat
01250,JOURNANS,AIN,1197,journans
01800,JOYEUX,AIN,1198,joyeux
01640,JUJURIEUX,AIN,1199,jujurieux
01450,LABALME,AIN,1200,labalme
01150,LAGNIEU,AIN,1202,lagnieu
01290,LAIZ,AIN,1203,laiz
01130,LALLEYRIAT,AIN,1204,lalleyriat
01200,LANCRANS,AIN,1205,lancrans
01430,LANTENAY,AIN,1206,lantenay
01330,LAPEYROUSE,AIN,1207,lapeyrouse
01350,LAVOURS,AIN,1208,lavours
01200,LEAZ,AIN,1209,leaz
01410,LELEX,AIN,1210,lelex
01240,LENT,AIN,1211,lent
01560,LESCHEROUX,AIN,1212,lescheroux
01150,LEYMENT,AIN,1213,leyment
01450,LEYSSARD,AIN,1214,leyssard
01420,LHOPITAL,AIN,1215,lhopital
01680,LHUIS,AIN,1216,lhuis
01260,LILIGNOD,AIN,1217,lilignod
01260,LOCHIEU,AIN,1218,lochieu
01680,LOMPNAS,AIN,1219,lompnas
01260,LOMPNIEU,AIN,1221,lompnieu
01800,LOYES,AIN,1223,loyes
01360,LOYETTES,AIN,1224,loyettes
01090,LURCY,AIN,1225,lurcy
01260,LUTHEZIEU,AIN,1226,luthezieu
01300,MAGNIEU,AIN,1227,magnieu
01430,MAILLAT,AIN,1228,maillat
01340,MALAFRETAZ,AIN,1229,malafretaz
01560,MANTENAY MONTLIN,AIN,1230,mantenay montlin
01570,MANZIAT,AIN,1231,manziat
01851,MARBOZ,AIN,1232,marboz
01680,MARCHAMP,AIN,1233,marchamp
01300,MARIGNIEU,AIN,1234,marignieu
01240,MARLIEUX,AIN,1235,marlieux
01340,MARSONNAS,AIN,1236,marsonnas
01810,MARTIGNAT,AIN,1237,martignat
01600,MASSIEUX,AIN,1238,massieux
01300,MASSIGNIEU DE RIVES,AIN,1239,massignieu de rives
01580,MATAFELON GRANGES,AIN,1240,matafelon granges
01370,MEILLONNAS,AIN,1241,meillonnas
01450,MERIGNAT,AIN,1242,merignat
01480,MESSIMY SUR SAONE,AIN,1243,messimy sur saone
01800,MEXIMIEUX,AIN,1244,meximieux
01250,BOHAS MEYRIAT RIGNAT,AIN,1245,bohas meyriat rignat
01660,MEZERIAT,AIN,1246,mezeriat
01170,MIJOUX,AIN,1247,mijoux
01390,MIONNAY,AIN,1248,mionnay
01700,MIRIBEL,AIN,1249,miribel
01600,MISERIEUX,AIN,1250,miserieux
01280,MOENS,AIN,1251,moens
01140,MOGNENEINS,AIN,1252,mogneneins
01800,MOLLON,AIN,1253,mollon
01250,MONTAGNAT,AIN,1254,montagnat
01470,MONTAGNIEU,AIN,1255,montagnieu
01200,MONTANGES,AIN,1257,montanges
01090,MONTCEAUX,AIN,1258,montceaux
01310,MONTCET,AIN,1259,montcet
01800,LE MONTELLIER,AIN,1260,le montellier
01390,MONTHIEUX,AIN,1261,monthieux
01120,MONTLUEL,AIN,1262,montluel
01090,MONTMERLE SUR SAONE,AIN,1263,montmerle sur saone
01310,MONTRACOL,AIN,1264,montracol
01460,MONTREAL LA CLUSE,AIN,1265,montreal la cluse
01340,MONTREVEL EN BRESSE,AIN,1266,montrevel en bresse
01460,NURIEUX VOLOGNAT,AIN,1267,nurieux volognat
01300,MURS ET GELIGNIEUX,AIN,1268,murs et gelignieux
01130,NANTUA,AIN,1269,nantua
01580,NAPT,AIN,1270,napt
01300,NATTAGES,AIN,1271,nattages
01400,NEUVILLE LES DAMES,AIN,1272,neuville les dames
01160,NEUVILLE SUR AIN,AIN,1273,neuville sur ain
01130,LES NEYROLLES,AIN,1274,les neyrolles
01700,NEYRON,AIN,1275,neyron
01120,NIEVROZ,AIN,1276,nievroz
01230,NIVOLLET MONTGRIFFON,AIN,1277,nivollet montgriffon
01200,OCHIAZ,AIN,1278,ochiaz
01230,ONCIEU,AIN,1279,oncieu
01510,ORDONNAZ,AIN,1280,ordonnaz
01210,ORNEX,AIN,1281,ornex
01430,OUTRIAZ,AIN,1282,outriaz
01100,OYONNAX,AIN,1283,oyonnax
01190,OZAN,AIN,1284,ozan
01600,PARCIEUX,AIN,1285,parcieux
01300,PARVES,AIN,1286,parves
01260,PASSIN,AIN,1287,passin
01630,PERON,AIN,1288,peron
01960,PERONNAS,AIN,1289,peronnas
01800,PEROUGES,AIN,1290,perouges
